h10773
s 01209/00000/00000
d D 1.1 93/02/03 15:08:34 suprem45 1 0
c date and time created 93/02/03 15:08:34 by suprem45
e
u
U
f e 0
t
T
I 1
* Version 4.4 4/8/91 16:07:41
*
*    S3IMP0 - SUPREM-3 implant distribution statistics file.
*
*    Date code: <820915.2110>
*
*    Notes: (1) 0 0 denotes a comment line.
*           (2) File will be read with list-directed I/O (free format).
*           (3) Data for each combination of material and element must
*               be in numerical order by energy.
*           (4) Data for each combination of material, element, and
*               energy must appear only once.
*           (5) Due to lack of data, polysilicon and single crystal
*               silicon as well as thermal oxide and deposited oxide
*               are assumed to have the same distribution statistics.
*
*    File format:
*
*    column 1: Material identifier:
*                1 => silicon
*                2 => oxide (thermal or deposited)
*                3 => polysilicon
*                4 => silicon-nitride
*                5 => aluminum
*    column 2: Element identifier:
*                1 => boron
*                2 => phosphorus
*                3 => arsenic
*                4 => antimony
*		 5 => BF2
*    column 3: Implant energy (keV)
*    column 4: Projected range (RP) (microns)
*    column 5: Vertical projected standard deviation (DRP) (microns)
*    column 6: Third moment ratio (GAMMA) (no units)
*    column 7: Fourth moment (beta2)  (no units)
*
*    Reference: J. E. Gibbons, W. S. Johnson, and S. W. Mylroie,
*               Projected Range Statistics (2nd edition), Stroudsburg,
*               Pennsylvania: Dowden, Hutchinson, & Ross, Inc., 1975.
*          NOTE: this info taken from LEE Christel.
*
*
*    Original: Michael Eldredge                          Dec.  1, 1981
*    Mod # 1 : Mike Kump                                 May  25, 1982
*    Mod # 2 : Stephen E. Hansen                         June  5, 1982
*    Mod # 3 : M.J.Eldredge  (Use the new Tables)        Aug. 10, 1982
*
*    Copyright (C) 1981 Board of Trustees of the Leland Stanford Junior
*                     University.  All Rights Reserved.
*
*    This routine may not be used outside of the SUPREM-3 computer
*    program without the prior written consent of the Board of Trustees
*    of the Leland Stanford Junior University.
*
*
*-------------------------------------------------------------------
*
*    Material: Silicon     [1]
*    Element : boron       [1]
*
*     energy    rp     drp   gamma  beta2    lrp
1   1   10.  0.0351  0.0182  -0.078  2.9195  0.0250
1   1   20.  0.0685  0.0296  -0.313  3.0633  0.0424
1   1   30.  0.1011  0.0384  -0.480  3.2746  0.0569
1   1   40.  0.1326  0.0455  -0.611  3.5045  0.0694
1   1   50.  0.1629  0.0515  -0.718  3.7393  0.0803
1   1   60.  0.1921  0.0566  -0.811  3.9744  0.0899
1   1   70.  0.2202  0.0610  -0.892  4.2078  0.0986
1   1   80.  0.2473  0.0649  -0.964  4.4390  0.1064
1   1   90.  0.2736  0.0683  -1.030  4.6675  0.1135
1   1  100.  0.2990  0.0714  -1.091  4.8935  0.1200
1   1  110.  0.3237  0.0742  -1.147  5.1169  0.1260
1   1  120.  0.3476  0.0767  -1.199  5.3380  0.1316
1   1  130.  0.3710  0.0790  -1.248  5.5569  0.1368
1   1  140.  0.3937  0.0811  -1.294  5.7737  0.1416
1   1  150.  0.4158  0.0830  -1.337  5.9885  0.1462
1   1  160.  0.4375  0.0848  -1.379  6.2014  0.1504
1   1  170.  0.4586  0.0865  -1.418  6.4127  0.1545
1   1  180.  0.4793  0.0881  -1.456  6.6223  0.1583
1   1  190.  0.4995  0.0896  -1.492  6.8304  0.1619
1   1  200.  0.5194  0.0909  -1.527  7.0371  0.1653
1   1  220.  0.5580  0.0935  -1.592  7.4449  0.1716
1   1  240.  0.5952  0.0957  -1.654  7.8482  0.1774
1   1  260.  0.6311  0.0978  -1.711  8.2473  0.1827
1   1  280.  0.6660  0.0996  -1.765  8.6426  0.1876
1   1  300.  0.6998  0.1013  -1.816  9.0344  0.1922
1   1  320.  0.7326  0.1028  -1.865  9.4230  0.1964
1   1  340.  0.7646  0.1043  -1.911  9.8086  0.2003
1   1  360.  0.7958  0.1056  -1.955 10.1913  0.2040
1   1  380.  0.8262  0.1068  -1.998 10.5715  0.2074
1   1  400.  0.8560  0.1080  -2.039 10.9493  0.2107
1   1  420.  0.8851  0.1090  -2.078 11.3247  0.2138
1   1  440.  0.9135  0.1100  -2.116 11.6980  0.2167
1   1  460.  0.9414  0.1110  -2.152 12.0692  0.2194
1   1  480.  0.9688  0.1119  -2.188 12.4385  0.2221
1   1  500.  0.9956  0.1127  -2.222 12.8060  0.2246
1   1  550.  1.0607  0.1146  -2.302 13.7088  0.2303
1   1  600.  1.1231  0.1163  -2.377 14.6027  0.2354
1   1  650.  1.1831  0.1178  -2.448 15.4883  0.2401
1   1  700.  1.2410  0.1192  -2.514 16.3661  0.2443
1   1  750.  1.2969  0.1204  -2.577 17.2368  0.2482
1   1  800.  1.3512  0.1215  -2.636 18.1008  0.2517
1   1  850.  1.4038  0.1225  -2.693 18.9585  0.2550
1   1  900.  1.4550  0.1235  -2.747 19.8102  0.2580
1   1  950.  1.5049  0.1243  -2.799 20.6563  0.2609
1   1 1000.  1.5535  0.1252  -2.849 21.4971  0.2635
* ---------------------------------------------------------------
*
*    Material: Silicon     [1]
*    Element : Phosphorus  [2]
*
*     energy    rp     drp   gamma  beta2    lrp
1   2   10.  0.0160  0.0080   0.631  3.5455  0.0095
1   2   20.  0.0283  0.0135   0.544  3.3797  0.0159
1   2   30.  0.0407  0.0186   0.467  3.2550  0.0220
1   2   40.  0.0534  0.0236   0.401  3.1630  0.0279
1   2   50.  0.0663  0.0284   0.342  3.0932  0.0337
1   2   60.  0.0794  0.0331   0.288  3.0398  0.0395
1   2   70.  0.0928  0.0376   0.239  2.9994  0.0452
1   2   80.  0.1064  0.0421   0.194  2.9689  0.0508
1   2   90.  0.1201  0.0464   0.153  2.9465  0.0563
1   2  100.  0.1339  0.0506   0.115  2.9306  0.0618
1   2  110.  0.1479  0.0547   0.080  2.9199  0.0672
1   2  120.  0.1619  0.0587   0.047  2.9135  0.0725
1   2  130.  0.1760  0.0626   0.018  2.9105  0.0777
1   2  140.  0.1902  0.0664  -0.010  2.9102  0.0829
1   2  150.  0.2044  0.0701  -0.036  2.9120  0.0880
1   2  160.  0.2187  0.0737  -0.061  2.9159  0.0930
1   2  170.  0.2329  0.0772  -0.085  2.9213  0.0979
1   2  180.  0.2472  0.0807  -0.107  2.9280  0.1028
1   2  190.  0.2615  0.0840  -0.128  2.9356  0.1076
1   2  200.  0.2758  0.0873  -0.147  2.9436  0.1123
1   2  220.  0.3044  0.0936  -0.185  2.9633  0.1215
1   2  240.  0.3328  0.0996  -0.221  2.9862  0.1305
1   2  260.  0.3612  0.1053  -0.254  3.0114  0.1392
1   2  280.  0.3895  0.1108  -0.286  3.0384  0.1476
1   2  300.  0.4176  0.1161  -0.316  3.0666  0.1558
1   2  320.  0.4455  0.1211  -0.344  3.0962  0.1638
1   2  340.  0.4733  0.1259  -0.371  3.1269  0.1716
1   2  360.  0.5009  0.1306  -0.397  3.1586  0.1791
1   2  380.  0.5283  0.1350  -0.422  3.1905  0.1864
1   2  400.  0.5555  0.1393  -0.445  3.2229  0.1935
1   2  420.  0.5825  0.1434  -0.468  3.2557  0.2005
1   2  440.  0.6093  0.1473  -0.490  3.2890  0.2072
1   2  460.  0.6358  0.1511  -0.511  3.3227  0.2138
1   2  480.  0.6622  0.1548  -0.531  3.3568  0.2202
1   2  500.  0.6884  0.1584  -0.551  3.3915  0.2265
1   2  550.  0.7530  0.1667  -0.603  3.4895  0.2415
1   2  600.  0.8164  0.1744  -0.652  3.5893  0.2556
1   2  650.  0.8785  0.1816  -0.697  3.6891  0.2690
1   2  700.  0.9395  0.1882  -0.739  3.7889  0.2816
1   2  750.  0.9994  0.1943  -0.778  3.8883  0.2936
1   2  800.  1.0582  0.2001  -0.816  3.9873  0.3050
1   2  850.  1.1160  0.2055  -0.851  4.0859  0.3158
1   2  900.  1.1727  0.2105  -0.884  4.1839  0.3262
1   2  950.  1.2286  0.2153  -0.916  4.2814  0.3361
1   2  1000.  1.0510  0.2720 +0.330  5.6200  0.4246
1   2  1500.  1.4771  0.2780 +0.077  5.9000  0.4340
1   2  2000.  1.8480  0.2840 -0.160  6.2600  0.4433
1   2  3000.  2.4570  0.2960 -0.590  7.2200  0.4621
1   2  5000.  3.3750  0.3200 -1.270  10.100  0.4995
1   2  7000.  4.3330  0.3440 -1.710  14.260  0.5370
* Lateral estimated from 950 ldrp * sd / 950 sd
*High energy > 1Mev provided by Peter Cottrell at IBM, Vermont.
*There is a discontinuity in the data because the high energy
*implants are for crystalline silicon, and the others are for
*amorphous silicon.
*
* ---------------------------------------------------------------
*
*    Material: Silicon     [1]
*    Element : arsenic     [3]
*
*     energy    rp     drp   gamma  beta2    ldrp
1   3   10.  0.0121  0.0045   0.639  3.5623  0.0050
1   3   20.  0.0191  0.0070   0.625  3.5327  0.0078
1   3   30.  0.0254  0.0093   0.617  3.5167  0.0101
1   3   40.  0.0314  0.0114   0.610  3.5038  0.0123
1   3   50.  0.0371  0.0134   0.604  3.4918  0.0144
1   3   60.  0.0428  0.0154   0.599  3.4804  0.0164
1   3   70.  0.0484  0.0173   0.593  3.4695  0.0183
1   3   80.  0.0539  0.0192   0.587  3.4590  0.0202
1   3   90.  0.0595  0.0210   0.582  3.4488  0.0221
1   3  100.  0.0650  0.0228   0.577  3.4390  0.0239
1   3  110.  0.0706  0.0247   0.572  3.4293  0.0258
1   3  120.  0.0761  0.0264   0.566  3.4198  0.0276
1   3  130.  0.0817  0.0282   0.561  3.4103  0.0293
1   3  140.  0.0872  0.0300   0.556  3.4011  0.0311
1   3  150.  0.0928  0.0317   0.551  3.3919  0.0329
1   3  160.  0.0984  0.0335   0.546  3.3824  0.0346
1   3  170.  0.1040  0.0352   0.541  3.3737  0.0364
1   3  180.  0.1097  0.0369   0.535  3.3644  0.0381
1   3  190.  0.1153  0.0386   0.532  3.3580  0.0399
1   3  200.  0.1210  0.0403   0.527  3.3499  0.0416
1   3  220.  0.1324  0.0437   0.505  3.3129  0.0450
1   3  240.  0.1439  0.0470   0.485  3.2817  0.0484
1   3  260.  0.1554  0.0503   0.468  3.2566  0.0518
1   3  280.  0.1670  0.0535   0.453  3.2345  0.0551
1   3  300.  0.1787  0.0567   0.437  3.2116  0.0584
1   3  320.  0.1904  0.0598   0.426  3.1961  0.0617
1   3  340.  0.2022  0.0630   0.413  3.1782  0.0650
1   3  360.  0.2141  0.0660   0.401  3.1637  0.0683
1   3  380.  0.2260  0.0691   0.394  3.1547  0.0715
1   3  400.  0.2379  0.0721   0.380  3.1373  0.0747
1   3  420.  0.2499  0.0751   0.374  3.1300  0.0779
1   3  440.  0.2619  0.0780   0.366  3.1204  0.0811
1   3  460.  0.2739  0.0809   0.363  3.1169  0.0843
1   3  480.  0.2860  0.0837   0.361  3.1149  0.0874
1   3  500.  0.2981  0.0866   0.352  3.1042  0.0905
1   3  550.  0.3285  0.0935   0.316  3.0666  0.0982
1   3  600.  0.3589  0.1002   0.285  3.0376  0.1058
1   3  650.  0.3895  0.1067   0.260  3.0157  0.1133
1   3  700.  0.4201  0.1130   0.238  2.9983  0.1206
1   3  750.  0.4508  0.1192   0.219  2.9851  0.1278
1   3  800.  0.4814  0.1251   0.202  2.9741  0.1349
1   3  850.  0.5121  0.1309   0.188  2.9651  0.1419
1   3  900.  0.5427  0.1365   0.174  2.9571  0.1487
1   3  950.  0.5733  0.1419   0.162  2.9509  0.1554
1   3 1000.  0.6038  0.1472   0.151  2.9456  0.1620
*
* ---------------------------------------------------------------
*
*    Material: Silicon     [1]
*    Element : antimony    [4]
*
*     energy    rp     drp   gamma  beta2    ldrp
1   4   10.  0.0121  0.0037   0.546  3.3824  0.0040
1   4   20.  0.0184  0.0056   0.542  3.3752  0.0060
1   4   30.  0.0237  0.0071   0.542  3.3757  0.0077
1   4   40.  0.0286  0.0086   0.542  3.3765  0.0092
1   4   50.  0.0331  0.0100   0.542  3.3766  0.0106
1   4   60.  0.0375  0.0112   0.542  3.3761  0.0119
1   4   70.  0.0417  0.0125   0.541  3.3750  0.0132
1   4   80.  0.0458  0.0137   0.541  3.3736  0.0144
1   4   90.  0.0499  0.0149   0.540  3.3720  0.0156
1   4  100.  0.0539  0.0161   0.539  3.3701  0.0167
1   4  110.  0.0578  0.0172   0.537  3.3680  0.0178
1   4  120.  0.0617  0.0184   0.536  3.3659  0.0189
1   4  130.  0.0655  0.0195   0.535  3.3636  0.0200
1   4  140.  0.0693  0.0206   0.534  3.3613  0.0211
1   4  150.  0.0731  0.0217   0.532  3.3589  0.0221
1   4  160.  0.0769  0.0228   0.531  3.3565  0.0232
1   4  170.  0.0807  0.0239   0.529  3.3540  0.0242
1   4  180.  0.0844  0.0249   0.528  3.3514  0.0252
1   4  190.  0.0882  0.0260   0.526  3.3488  0.0262
1   4  200.  0.0919  0.0271   0.525  3.3462  0.0272
1   4  220.  0.0993  0.0292   0.517  3.3338  0.0292
1   4  240.  0.1068  0.0312   0.510  3.3222  0.0312
1   4  260.  0.1142  0.0333   0.504  3.3119  0.0331
1   4  280.  0.1216  0.0353   0.498  3.3023  0.0351
1   4  300.  0.1290  0.0374   0.492  3.2933  0.0370
1   4  320.  0.1364  0.0394   0.487  3.2848  0.0389
1   4  340.  0.1439  0.0414   0.482  3.2766  0.0407
1   4  360.  0.1513  0.0434   0.476  3.2687  0.0426
1   4  380.  0.1588  0.0454   0.471  3.2610  0.0445
1   4  400.  0.1663  0.0474   0.466  3.2534  0.0463
1   4  420.  0.1738  0.0493   0.461  3.2461  0.0482
1   4  440.  0.1813  0.0513   0.457  3.2394  0.0500
1   4  460.  0.1888  0.0532   0.451  3.2312  0.0518
1   4  480.  0.1963  0.0551   0.447  3.2255  0.0537
1   4  500.  0.2039  0.0571   0.442  3.2188  0.0555
1   4  550.  0.2229  0.0618   0.425  3.1952  0.0600
1   4  600.  0.2420  0.0665   0.410  3.1747  0.0644
1   4  650.  0.2612  0.0712   0.396  3.1566  0.0689
1   4  700.  0.2804  0.0758   0.383  3.1404  0.0733
1   4  750.  0.2998  0.0803   0.371  3.1259  0.0777
1   4  800.  0.3193  0.0848   0.359  3.1125  0.0820
1   4  850.  0.3389  0.0892   0.348  3.1007  0.0864
1   4  900.  0.3585  0.0936   0.338  3.0893  0.0907
1   4  950.  0.3783  0.0980   0.328  3.0787  0.0949
1   4 1000.  0.3980  0.1022   0.319  3.0698  0.0992
*
* ---------------------------------------------------------------
*
* Material: oxide
* Impurity: boron
*
*     energy    rp     drp   gamma  beta2    lrp
2  1    10.  0.0355  0.0167  -0.033  2.9117  0.0224
2  1    20.  0.0713  0.0280  -0.286  3.0378  0.0395
2  1    30.  0.1068  0.0370  -0.463  3.2485  0.0542
2  1    40.  0.1414  0.0443  -0.600  3.4836  0.0670
2  1    50.  0.1748  0.0505  -0.713  3.7265  0.0781
2  1    60.  0.2070  0.0557  -0.810  3.9711  0.0881
2  1    70.  0.2381  0.0602  -0.894  4.2151  0.0970
2  1    80.  0.2681  0.0642  -0.970  4.4574  0.1051
2  1    90.  0.2972  0.0678  -1.039  4.6978  0.1124
2  1   100.  0.3253  0.0709  -1.102  4.9359  0.1191
2  1   110.  0.3526  0.0738  -1.160  5.1719  0.1253
2  1   120.  0.3792  0.0763  -1.214  5.4058  0.1311
2  1   130.  0.4050  0.0787  -1.265  5.6377  0.1364
2  1   140.  0.4302  0.0809  -1.313  5.8677  0.1414
2  1   150.  0.4547  0.0829  -1.359  6.0959  0.1461
2  1   160.  0.4787  0.0847  -1.402  6.3223  0.1505
2  1   170.  0.5021  0.0864  -1.443  6.5472  0.1546
2  1   180.  0.5250  0.0880  -1.482  6.7706  0.1586
2  1   190.  0.5474  0.0895  -1.520  6.9926  0.1623
2  1   200.  0.5694  0.0909  -1.556  7.2132  0.1658
2  1   220.  0.6121  0.0935  -1.624  7.6486  0.1723
2  1   240.  0.6533  0.0958  -1.687  8.0798  0.1783
2  1   260.  0.6931  0.0979  -1.747  8.5071  0.1837
2  1   280.  0.7316  0.0997  -1.803  8.9308  0.1887
2  1   300.  0.7690  0.1015  -1.856  9.3511  0.1933
2  1   320.  0.8054  0.1030  -1.906  9.7682  0.1976
2  1   340.  0.8408  0.1045  -1.954 10.1824  0.2017
2  1   360.  0.8753  0.1058  -2.000 10.5938  0.2054
2  1   380.  0.9089  0.1071  -2.044 11.0027  0.2089
2  1   400.  0.9418  0.1082  -2.087 11.4092  0.2123
2  1   420.  0.9740  0.1093  -2.127 11.8134  0.2154
2  1   440.  1.0054  0.1103  -2.167 12.2154  0.2183
2  1   460.  1.0363  0.1113  -2.204 12.6154  0.2211
2  1   480.  1.0665  0.1122  -2.241 13.0134  0.2238
2  1   500.  1.0962  0.1130  -2.276 13.4095  0.2263
2  1   550.  1.1681  0.1149  -2.359 14.3808  0.2322
2  1   600.  1.2370  0.1166  -2.437 15.3435  0.2374
2  1   650.  1.3033  0.1182  -2.509 16.2979  0.2421
2  1   700.  1.3672  0.1195  -2.577 17.2444  0.2463
2  1   750.  1.4290  0.1208  -2.642 18.1837  0.2502
2  1   800.  1.4889  0.1219  -2.703 19.1160  0.2538
2  1   850.  1.5470  0.1229  -2.762 20.0419  0.2571
2  1   900.  1.6036  0.1238  -2.817 20.9617  0.2602
2  1   950.  1.6586  0.1247  -2.871 21.8756  0.2630
2  1  1000.  1.7123  0.1255  -2.922 22.7839  0.2657
*
* ---------------------------------------------------------------
*
* Material: oxide
* Impurity: phosphorus
*
*     energy    rp     drp   gamma  beta2

2  2    10.  0.0147  0.0065   0.557  3.4025  0.0074
2  2    20.  0.0263  0.0112   0.488  3.2872  0.0126
2  2    30.  0.0381  0.0155   0.430  3.2020  0.0176
2  2    40.  0.0500  0.0197   0.379  3.1356  0.0224
2  2    50.  0.0623  0.0238   0.332  3.0825  0.0271
2  2    60.  0.0747  0.0278   0.288  3.0397  0.0318
2  2    70.  0.0874  0.0316   0.247  3.0057  0.0364
2  2    80.  0.1002  0.0353   0.210  2.9787  0.0409
2  2    90.  0.1131  0.0390   0.175  2.9577  0.0453
2  2   100.  0.1261  0.0425   0.143  2.9418  0.0497
2  2   110.  0.1392  0.0459   0.113  2.9301  0.0540
2  2   120.  0.1524  0.0491   0.086  2.9216  0.0583
2  2   130.  0.1656  0.0523   0.061  2.9159  0.0624
2  2   140.  0.1788  0.0554   0.037  2.9121  0.0665
2  2   150.  0.1920  0.0585   0.015  2.9104  0.0706
2  2   160.  0.2053  0.0614  -0.006  2.9101  0.0745
2  2   170.  0.2185  0.0642  -0.025  2.9110  0.0784
2  2   180.  0.2318  0.0670  -0.044  2.9131  0.0822
2  2   190.  0.2450  0.0697  -0.063  2.9162  0.0860
2  2   200.  0.2581  0.0723  -0.079  2.9197  0.0896
2  2   220.  0.2844  0.0772  -0.122  2.9331  0.0968
2  2   240.  0.3106  0.0820  -0.160  2.9502  0.1038
2  2   260.  0.3365  0.0865  -0.196  2.9698  0.1105
2  2   280.  0.3623  0.0907  -0.228  2.9913  0.1169
2  2   300.  0.3878  0.0948  -0.258  3.0140  0.1232
2  2   320.  0.4132  0.0986  -0.286  3.0379  0.1293
2  2   340.  0.4383  0.1023  -0.312  3.0628  0.1351
2  2   360.  0.4632  0.1058  -0.337  3.0885  0.1408
2  2   380.  0.4878  0.1092  -0.361  3.1150  0.1463
2  2   400.  0.5123  0.1124  -0.383  3.1412  0.1517
2  2   420.  0.5365  0.1155  -0.405  3.1682  0.1569
2  2   440.  0.5605  0.1184  -0.426  3.1955  0.1619
2  2   460.  0.5843  0.1213  -0.446  3.2233  0.1668
2  2   480.  0.6078  0.1240  -0.465  3.2514  0.1716
2  2   500.  0.6311  0.1266  -0.484  3.2797  0.1762
2  2   550.  0.6885  0.1327  -0.536  3.3659  0.1872
2  2   600.  0.7446  0.1383  -0.585  3.4536  0.1976
2  2   650.  0.7995  0.1434  -0.629  3.5408  0.2073
2  2   700.  0.8531  0.1482  -0.669  3.6273  0.2165
2  2   750.  0.9057  0.1525  -0.707  3.7130  0.2252
2  2   800.  0.9572  0.1566  -0.743  3.7979  0.2334
2  2   850.  1.0077  0.1604  -0.776  3.8820  0.2412
2  2   900.  1.0573  0.1639  -0.807  3.9652  0.2486
2  2   950.  1.1059  0.1673  -0.837  4.0477  0.2556
2  2  1000.  1.0510  0.2720 +0.330  5.6200  0.4246
2  2  1500.  1.4771  0.2780 +0.077  5.9000  0.4340
2  2  2000.  1.8480  0.2840 -0.160  6.2600  0.4433
2  2  3000.  2.4570  0.2960 -0.590  7.2200  0.4621
2  2  5000.  3.3750  0.3200 -1.270  10.100  0.4995
2  2  7000.  4.3330  0.3440 -1.710  14.260  0.5370
*
* ---------------------------------------------------------------
*
* Material: oxide
* Impurity: arsenic
*
*     energy    rp     drp   gamma  beta2    ldrp
2  3    10.  0.0115  0.0038   0.558  3.4036  0.0041
